feature,importance
had_inpatient,0.106444776
total_visits,0.10200134
discharge_disposition_Expired,0.06280935
comorbidity_score,0.034544647
discharge_disposition_Hospice_medical_facility,0.02029946
discharge_disposition_Hospice_home,0.017948994
diag_1_category_Neoplasms,0.017482676
medical_specialty_ObstetricsandGynecology,0.01455346
polypharmacy_level,0.013315814
medical_specialty_Surgery_Cardiovascular_Thoracic,0.013180814
medical_specialty_Emergency_Trauma,0.012486904
age__70_80_,0.012197449
discharge_disposition_Unknown_Invalid,0.010850471
discharge_disposition_Discharged_transferred_to_home_with_home_health_service,0.010657013
medical_specialty_Orthopedics_Reconstructive,0.010598624
diag_2_category_Diseases_of_the_skin_and_subcutaneous_tissue,0.010324856
discharge_disposition_Discharged_transferred_to_another_rehab_fac_including_rehab_units_of_a_hospital_,0.009989082
diag_1_category_Diseases_of_the_respiratory_system,0.009946288
age__80_90_,0.009509744
race_Caucasian,0.009180553
race_AfricanAmerican,0.009167521
num_procedures,0.008904124
stay_length_cat,0.008724704
diag_1_category_Symptoms_signs_and_ill_defined_conditions,0.008710878
change,0.008507983
age__20_30_,0.008339353
diag_1_category_Injury_and_poisoning,0.008277078
medical_specialty_Surgery_Neuro,0.008204956
glipizide,0.007686032
diag_1_category_Diseases_of_the_musculoskeletal_system_and_connective_tissue,0.007325726
diag_2_category_Injury_and_poisoning,0.0072971955
medical_specialty_Nephrology,0.0071756425
diag_1_category_Endocrine_nutritional_and_metabolic_diseases_and_immunity_disorders,0.007174099
had_emergency,0.0071584717
diag_1_category_Diseases_of_the_circulatory_system,0.00713161
discharge_disposition_Discharged_transferred_to_SNF,0.00700772
race_Asian,0.0069220504
medical_specialty_Orthopedics,0.0068767993
diag_2_category_Unknown,0.0065108207
discharge_disposition_Discharged_to_home,0.0064486773
medical_specialty_PhysicalMedicineandRehabilitation,0.006330419
metformin,0.006186857
diag_3_category_Neoplasms,0.006184567
discharge_disposition_Discharged_transferred_to_a_long_term_care_hospital_,0.0061362768
age__90_100_,0.005988431
discharge_disposition_Discharged_transferred_to_another_type_of_inpatient_care_institution,0.0058938307
diag_1_category_Supplemental_classification,0.00584317
age__50_60_,0.0058421977
discharge_disposition_Not_Mapped,0.005713511
glyburide,0.0056857294
diag_3_category_Diseases_of_the_nervous_system_and_sense_organs,0.0056363447
num_lab_procedures,0.0055849566
race_Other,0.0055333646
diag_3_category_Injury_and_poisoning,0.0055120424
medical_specialty_InternalMedicine,0.005510697
medical_specialty_Cardiology,0.0054895086
insulin,0.005443408
age__30_40_,0.005408087
diag_1_category_Mental_disorders,0.005383726
medical_specialty_Psychology,0.0053537535
